TITLE,ARTIST,ID,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
(Sittin' On) The Dock Of The Bay,Otis Redding,3zBhihYUHBmGd2bcQIobrF,0.769,0.367,-11.226,0.0312,0.684,1.62e-05,0.081,0.535,103.621
(Something Inside) So Strong,Labi Siffre,2z8PSS00q39tUuVjYfTO67,0.682,0.375,-10.308,0.0347,0.418,5.75e-06,0.0984,0.226,82.187
1234,Feist,2CzWeyC9zlDpIOZPUUKrBW,0.71,0.484,-7.415,0.049,0.217,3.93e-06,0.0879,0.576,109.951
1812 Overture,Pyotr Ilyich Tchaikovsky,4t8S0cAnJQhrcLJ8TbUH7G,0.256,0.697,-12.898,0.0584,0.33,0.931,0.0876,0.124,102.631
1901,Phoenix,3FM33HqRlV7J1QJoPOnd2u,0.591,0.831,-5.647,0.0415,0.0605,4.67e-05,0.19,0.705,144.084
22,Taylor Swift,3bIxTsfeNMO7Nt2J3EUKrA,0.658,0.729,-6.561,0.0378,0.00215,0.0013,0.0752,0.668,104.007
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,0.818,0.803,-4.282,0.0797,0.034,0.0,0.153,0.632,106.97
7 Rings,Ariana Grande,6ocbgoVGwYJhOv1GgI9NsF,0.778,0.317,-10.732,0.334,0.592,0.0,0.0881,0.327,140.048
88 Lines About 44 Women,The Nails,6YSF0u64K0xreRh1uOJuPw,0.799,0.716,-9.224,0.0579,0.0414,0.0295,0.0872,0.975,148.692
A Little Love,Celeste,7eTonpb9lXgerPaW6I1VnP,0.333,0.281,-8.262,0.0274,0.893,0.0,0.0995,0.265,145.621
A Nice Cup Of Tea,Binnie Hale,5n4mnUBPGPH6N81g9pI6NH,0.669,0.157,-21.232,0.329,0.983,1.04e-05,0.0571,0.658,139.224
A Sign Of The Times,Petula Clark,6EdGkH1mk7dKIgc3CKgo7F,0.532,0.708,-9.162,0.0339,0.551,0.0,0.318,0.887,138.49
AKA...What A Life!,Noel Gallagher's High Flying Birds,5mljJfOTZR3nF4ExmRLTjv,0.447,0.927,-3.3,0.0508,0.000297,0.362,0.0972,0.104,119.034
Adiemus,Karl Jenkins,54CAG8n70kKVbFV6l1zF4G,0.295,0.408,-16.632,0.0693,0.804,0.148,0.165,0.164,150.454
Africa,Toto,2374M0fQpWi3dLnB54qaLX,0.671,0.373,-18.064,0.0323,0.257,8.01e-05,0.0481,0.732,92.718
After Light,Rustie,5yrHZWuyrOrc4iWnDevono,0.331,0.695,-7.1,0.0394,0.00482,0.844,0.0726,0.115,95.908
After Midnight,Eric Clapton,27mdmXNcO0gNpXlrWi9DPZ,0.617,0.664,-11.701,0.0345,0.0985,0.0,0.203,0.931,127.021
Ain't Nothing Like The Real Thing,Marvin Gaye & Tammi Terrell,3UbNeYyyTnDhYU37Q3w2Jy,0.611,0.689,-7.701,0.0379,0.145,0.00224,0.39,0.81,93.565
Ain't That A Shame,Fats Domino,4ZfQwNx3FlCN07cnUvekh3,0.486,0.501,-8.57,0.0326,0.767,7.6e-05,0.0679,0.942,122.894
Air on a G String,Johann Sebastian Bach,4cJQmBaioAZrtsAtulYZ6f,0.112,0.0731,-26.369,0.0414,0.984,0.876,0.107,0.142,90.902
Ali in the Jungle,The Hours,3kr2i1P9eQZitASv83V8zh,0.692,0.932,-4.305,0.045,0.226,2.07e-06,0.0953,0.844,141.033
Alison,Elvis Costello,1v98rfd0an913AzHvMNG8a,0.557,0.32,-10.792,0.0438,0.739,3.99e-05,0.112,0.377,176.647
All Around The World,Oasis,6ZYgoD3c2aE4dD3yVFWV51,0.33,0.814,-3.138,0.0506,0.155,0.000291,0.701,0.297,82.131
All By Myself,Eric Carmen,0AQqrtK1pULuwZUXhwaaDz,0.376,0.373,-9.184,0.0305,0.827,0.832,0.15,0.111,116.074
All Goes Wrong,Chase & Status,4pfu1lEKJhRGTQf64cQPXd,0.454,0.782,-3.539,0.0498,0.0342,0.0,0.173,0.286,174.851
All Right Now,Free,1gcESexgftSuLuML57Y69q,0.787,0.472,-12.824,0.0832,0.221,0.000336,0.153,0.824,120.059
All Star,Smash Mouth,3cfOd4CMv2snFaKAnMdnvK,0.731,0.867,-5.881,0.032,0.0395,0.0,0.0861,0.776,104.019
All Together Now,The Beatles,2ck8lFrYAch2GPtdhpTHe3,0.587,0.431,-9.495,0.0686,0.0722,0.0,0.561,0.778,95.937
All You Need Is Love,The Beatles,68BTFws92cRztMS1oQ7Ewj,0.4,0.48,-7.768,0.0295,0.346,3.1e-05,0.155,0.653,103.436
All of the Lights,Kanye West,22L7bfCiAkJo5xGSQgmiIO,0.531,0.803,-3.284,0.0717,0.0796,1.71e-05,0.176,0.221,142.113
Always On My Mind,Willie Nelson,2xYQTU2bbg6WVAmpY1eae4,0.524,0.261,-13.868,0.0272,0.755,0.00105,0.144,0.201,73.36
Am I Wrong,Anderson .Paak,1UjyF6okUHhnVxaLV8ojsA,0.729,0.799,-7.378,0.0779,0.0588,0.00218,0.0948,0.532,115.04
American Woman,The Guess Who,3LQPTJEqOfljGBxmpgUnoC,0.55,0.726,-8.51,0.0516,0.146,0.00608,0.428,0.37,92.697
Angel,Sarah McLachlan,3xZMPZQYETEn4hjor3TR1A,0.532,0.0744,-16.092,0.0355,0.949,1.22e-05,0.106,0.125,117.131
Animals,Maroon 5,2bL2gyO6kBdLkNSkxXNh6x,0.279,0.742,-6.46,0.0898,0.000185,0.0,0.593,0.328,189.868
"Another Girl, Another Planet",The Only Ones,5TmQl8urbTlfZb8xKisSl0,0.325,0.838,-6.501,0.144,0.0327,0.00042,0.126,0.449,156.507
Another One Bites The Dust,Queen,57JVGBtBLCfHw2muk5416J,0.933,0.528,-6.472,0.162,0.112,0.329,0.163,0.756,109.975
Anticipation,Carly Simon,0rLRrCTqWVMgv1DpMBSezw,0.61,0.297,-14.956,0.0304,0.838,9.16e-06,0.107,0.543,99.963
Any Way You Want It,Journey,71SvEDmsOwIWw1IozsZoMA,0.529,0.932,-7.501,0.0488,0.00251,0.00109,0.136,0.571,138.158
Anything Could Happen,Ellie Goulding,7C7yqFTM0ncyJ04GIKrxdV,0.702,0.781,-4.081,0.03,0.433,0.0,0.135,0.382,102.997
Applause,Lady Gaga,5ka2ajep9OAvU5Sgduhiex,0.669,0.78,-4.287,0.053,0.0265,1.63e-06,0.143,0.738,139.945
Are You Gonna Be My Girl,Jet,305WCRhhS10XUcH6AEwZk6,0.613,0.953,-3.435,0.0855,0.00148,0.000582,0.152,0.537,105.046
Are You Ready?,United Nations of Sound,6H4Y6O0KaHjUihdZIeYo1E,0.236,0.81,-4.519,0.0481,0.00668,0.0,0.41,0.374,177.731
Aria,Yanni,4dGKKxPAhlFWMVoSPue3je,0.454,0.73,-13.313,0.0467,0.0392,0.00158,0.178,0.196,113.94
Around The Bend,The Asteroids Galaxy Tour,4tdGyzQ3WqygwxOEpbQ8eo,0.704,0.907,-6.408,0.0373,0.11,0.00982,0.334,0.712,95.023
At The River,Groove Armada,0KIPa0YuQ5QFmlAqRyXNd9,0.697,0.514,-8.626,0.0286,0.0301,0.535,0.212,0.449,136.071
Awake,Godsmack,6xXlurslWqFuyqTCBlErzX,0.395,0.756,-4.12,0.0544,1.74e-05,0.00665,0.319,0.475,112.092
Baba O'Riley,The Who,3qiyyUfYe7CRYLucrPmulD,0.489,0.724,-8.367,0.0352,0.313,0.185,0.287,0.15,117.292
Baby Come Back,Player,2eRYuzlSOBk3HlMsCSOLPJ,0.645,0.604,-9.904,0.118,0.0713,0.0,0.129,0.545,156.436
Back To Life (However Do You Want Me),Soul II Soul,7ELuWpsuVCRBnOR9ZAZKDp,0.819,0.611,-7.428,0.129,0.0673,7.7e-05,0.0477,0.653,101.001
Bad Case of Loving You,Robert Palmer,75zVpdjXwmy6SLr2hDnJYo,0.677,0.748,-12.328,0.038,0.00701,3.99e-05,0.093,0.746,146.03
Bang The Drum All Day,Todd Rundgren,54EvqHberbpzMu7nu8hs9S,0.639,0.752,-12.454,0.0451,0.541,0.0,0.0453,0.966,143.086
Bang!,AJR,0m7TguDgLue2LCaDF7B4qx,0.74,0.517,-6.233,0.0506,0.0183,0.0,0.0558,0.698,139.917
Be My Baby,The Ronettes,2G2YzndIA6jeWFPBXhUjh5,0.511,0.769,-7.032,0.042,0.181,0.0,0.0921,0.818,129.657
Beautiful Day,Joshua Radin,1aMvViuAn7i8gRapm8C0p8,0.689,0.429,-9.301,0.0275,0.233,0.004,0.0859,0.595,95.014
Beautiful World,Devo,4oxqiNsFxFEJzUf8P5nJmc,0.644,0.451,-12.758,0.0273,0.255,0.000278,0.11,0.443,149.381
Believer,Imagine Dragons,0pqnGHJpmpxLKifKRmU6WP,0.776,0.78,-4.374,0.128,0.0622,0.0,0.081,0.666,124.949
Best Day of My Life,American Authors,5Hroj5K7vLpIG4FNCRIjbP,0.673,0.902,-2.392,0.0346,0.0591,0.000262,0.0558,0.538,100.012
Best Friend,Sofi Tukker,1zEhH5BmSpKi1mRSIfBDOq,0.699,0.7,-5.704,0.0392,0.0109,0.0794,0.152,0.3,102.023
Better,Guns N' Roses,3nW5v0Htr1ySk8czTJIA2V,0.563,0.784,-9.234,0.042,0.1,0.00219,0.895,0.387,98.011
Better Now,Collective Soul,0xqcypl9a1proZeZLmMJMN,0.673,0.809,-5.28,0.0362,0.0107,0.000825,0.0212,0.964,123.018
Beyond The Sea,Bobby Darin,3KzgdYUlqV6TOG7JCmx2Wg,0.521,0.516,-7.456,0.0369,0.723,0.0,0.257,0.569,136.483
Billie Jean,Michael Jackson,5ChkMS8OtdzJeqyybCc9R5,0.92,0.654,-3.051,0.0401,0.0236,0.0158,0.0359,0.847,117.046
Bitter Sweet Symphony,The Verve,57iDDD9N9tTWe75x6qhStw,0.356,0.917,-6.006,0.0479,0.0335,0.0,0.406,0.518,171.176
Black Dog,Led Zeppelin,3qT4bUD1MaWpGrTwcvguhb,0.437,0.864,-7.842,0.0904,0.396,0.0314,0.242,0.749,81.394
Black Sheep,Gin Wigmore,7cGr5XY2pfj9b4UngCktG0,0.723,0.656,-3.828,0.0385,0.028,0.000708,0.709,0.414,119.019
Blame It On The Bossa Nova,Eydie Gormé,1vOsIiq80fcYONCUEBbzHu,0.658,0.394,-15.838,0.0422,0.529,0.0,0.197,0.968,79.707
Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005
Blister In The Sun,Violent Femmes,2ugghimAssmeO3YpFIV7mb,0.726,0.537,-8.896,0.113,0.316,0.0,0.0707,0.887,96.91
Blow Your Mind (Mwah),Dua Lipa,7kJlTKjNZVT26iwiDUVhRm,0.654,0.796,-4.761,0.122,0.0188,0.0,0.0948,0.491,108.854
Blowin' In The Wind,Bob Dylan,18GiV1BaXzPVYpp9rmOg0E,0.38,0.0993,-20.567,0.0509,0.914,2.32e-05,0.0605,0.44,174.874
Blue Monday,New Order,6hHc7Pks7wtBIW8Z6A0iFq,0.762,0.651,-13.34,0.0655,0.00198,0.856,0.111,0.941,130.395
Blurred Lines,Robin Thicke,0n4bITAu0Y0nigrz3MFJMb,0.853,0.599,-4.756,0.0411,0.00334,7.93e-06,0.0759,0.843,119.993
Bohemian Like You,The Dandy Warhols,0yEhNqCwEfy8LHUmnZoHpP,0.584,0.931,-6.158,0.0344,0.00315,0.772,0.133,0.694,131.275
Bom Bom,Antonio Sorgentone,0S4MhVxpmXTpbd3vnj881g,0.648,0.828,-9.194,0.0894,0.102,0.0349,0.158,0.331,105.907
Bom Bom,Sam and the Womp,0d5f6gzzW1Pgx9uJsLrSDP,0.755,0.925,-3.977,0.257,0.0213,3.32e-05,0.101,0.804,125.06
Boom Boom,John Lee Hooker,2Mr1bGI2E10K7Mt1UJZ6Mw,0.441,0.455,-14.207,0.0485,0.62,0.00187,0.135,0.918,160.9
Boombastic,Shaggy,4fxF8ljwryMZX5c9EKrLFE,0.867,0.538,-16.183,0.361,0.242,1.75e-05,0.316,0.781,158.328
Born to be Alive,Patrick Hernandez,3XIEWK1V9n25PS9Vb6axj5,0.704,0.867,-5.808,0.0315,0.0846,0.0,0.206,0.809,131.467
Bottle It Up,Sara Bareilles,3kfHdr2sYF2EeWEmBHquVj,0.621,0.717,-4.161,0.0326,0.199,0.0,0.153,0.699,132.815
Bounce Back,Big Sean,0SGkqnVQo9KPytSri1H6cF,0.78,0.575,-5.628,0.139,0.106,0.0,0.129,0.273,81.502
Brave,Sara Bareilles,6Uy6K3KdmUdAfelUp0SeXn,0.551,0.836,-3.838,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063
Break My Stride,Matthew Wilder,1mCsF9Tw4AkIZOjvZbZZdT,0.917,0.588,-11.047,0.0607,0.195,0.0,0.0914,0.828,110.077
Breaking the Law,Judas Priest,2RaA6kIcvomt77qlIgGhCT,0.362,0.961,-5.664,0.0857,0.024,9.35e-06,0.159,0.491,164.019
Bruises,Chairlift,4mdyVTV7Tr5YDFnD2kvSM4,0.579,0.554,-7.08,0.0587,0.0175,0.0221,0.101,0.838,185.183
Bust A Move,Young MC,3IeCYkdKI55mNMl2o4vX0k,0.946,0.772,-7.537,0.121,0.0512,2.26e-06,0.0612,0.743,116.972
Bye Bye Bye,*NSYNC,62bOmKYxYg7dhrC6gH9vFn,0.61,0.926,-4.843,0.0479,0.031,0.0012,0.0821,0.861,172.638
C'Mon Everybody,Eddie Cochran,7ItZM6DMZE2m1X7yIaRxjq,0.627,0.7,-9.657,0.0522,0.121,0.0111,0.188,0.856,175.33
California King Bed,Rihanna,1NpDnkQO0yWxTtntrC0UNz,0.452,0.571,-3.992,0.0359,0.25,0.0,0.114,0.327,169.899
California Sun,The Rivieras,6qpTh8eRZ4wPycoRZvbWnd,0.411,0.874,-8.72,0.0427,0.4,0.0887,0.113,0.965,169.464
Can You Dig It?,The Mock Turtles,1qrVwgQAatH3xRFtw4XZ8j,0.503,0.922,-3.716,0.032,0.00253,0.134,0.622,0.831,107.503
Can't Get Enough of You Baby,Smash Mouth,0UVIXwqfTjefBbDyY60MWB,0.666,0.895,-4.667,0.0293,0.0147,0.0,0.439,0.83,123.716
Can't Help Falling In Love,Elvis Presley,44AyOl4qVkzS48vBsbNXaC,0.396,0.293,-14.062,0.0275,0.941,0.000196,0.105,0.343,100.307
Can't Hold Us,Macklemore & Ryan Lewis,3bidbhpOYeV4knp8AIu8Xn,0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078
Can't Stop Loving You,Phil Collins,2W6PNGCN4PGwPMf1jYazL4,0.604,0.778,-5.686,0.0259,0.00726,1.33e-05,0.114,0.419,100.155
Cannonball,The Breeders,1KdwPeY1WRWQGHCmRJTveb,0.502,0.758,-9.76,0.0407,0.00915,0.783,0.284,0.729,112.499
Carried Away,Passion Pit,52a6VcF23v5HB7KfDEmBHq,0.772,0.826,-5.135,0.0344,0.0176,8.56e-06,0.383,0.871,119.995
Cars,Gary Numan,4QQEzkxcONBthDLfzqIh9S,0.545,0.578,-8.745,0.0406,0.0114,6.57e-05,0.0692,0.819,128.038
Cat's In The Cradle,Harry Chapin,2obblQ6tcePeOEVJV6nEGD,0.489,0.577,-9.765,0.042,0.233,0.0,0.123,0.519,78.112
Catch The Wind,Donovan,6aXKbU2QGsOms8UT3eUOg1,0.385,0.306,-12.167,0.0297,0.452,7.43e-06,0.128,0.546,173.377
Catch Us If You Can,The Dave Clark Five,7d91GO9HafgZuRUA2NjLTj,0.473,0.602,-9.561,0.0669,0.149,5.4e-05,0.213,0.897,146.514
Centuries,Fall Out Boy,04aAxqtGp5pv12UXAg4pkq,0.393,0.858,-2.868,0.0729,0.00359,0.0,0.102,0.56,176.042
Cha Cha Slide,DJ Casper,3Xv5C02Wxlek0dmrYAM5A8,0.978,0.695,-5.746,0.213,0.00126,5.01e-05,0.284,0.496,122.027
Chandelier,Sia,2s1sdSqGcKxpPr5lCl7jAV,0.399,0.787,-2.88,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089
Citizen/Soldier,3 Doors Down,7fKsaiVDwKe6VVsiGk48YG,0.631,0.821,-5.503,0.0343,0.0111,0.0156,0.197,0.486,97.003
Civilization,Justice,3cn4e9MRXiUmDqTioimYBp,0.575,0.625,-5.296,0.0345,0.00145,0.0,0.0817,0.282,111.984
Coffee Song,Osibisa,6dc2uxZoxKpCt5DJOftQ7Y,0.734,0.862,-6.976,0.0326,0.152,0.00635,0.0487,0.971,118.653
Colour My World,Petula Clark,1z3IIdFTZBDue4IKuTcGBs,0.446,0.792,-7.449,0.0513,0.71,0.0,0.113,0.741,165.018
Come And Get It,John Newman,161nSMdnYYUTEOhipcA7JF,0.649,0.718,-4.861,0.0423,0.00273,8.94e-05,0.115,0.801,109.003
Come Back To Me,HollySiz,0HFoJSIbneK6QWLnPJjML2,0.664,0.664,-7.228,0.0703,0.351,0.0126,0.11,0.738,129.933
Come From The Heart,Kathy Mattea,0RN6oIGaWPokIn7T8s4KcP,0.558,0.463,-14.59,0.0524,0.694,3.82e-05,0.259,0.791,176.685
Come On Get It,Lenny Kravitz,34fFaNqCx05Q0znMhBgFIi,0.495,0.91,-4.889,0.0466,0.0034,0.00696,0.0236,0.742,189.803
Come Out and Play,Billie Eilish,7wC5eZcFS1Q1BsQ35DU6H4,0.64,0.321,-14.604,0.0931,0.693,0.0307,0.114,0.177,145.045
Come Together,The Beatles,2EqlS6tkEnglzr7tkKAAYD,0.533,0.376,-11.913,0.0393,0.0302,0.248,0.0926,0.187,165.007
Coming Home,Diddy Dirty Money,6Iocm6VMu6bVNYwiDoyQFW,0.392,0.839,-1.921,0.193,0.158,0.0,0.3,0.232,168.001
Coming Home,Leon Bridges,65GbQI9VDTs7vo6MJL2iJA,0.427,0.465,-6.595,0.0291,0.461,5.52e-05,0.154,0.458,112.137
Connection,OneRepublic,3T4UodGkfZObJ43RtA5KFU,0.611,0.602,-4.89,0.0437,0.000837,0.0,0.112,0.624,168.154
Count On Me,Bruno Mars,7l1qvxWjxcKpB9PCtBuTbU,0.577,0.397,-5.98,0.028,0.84,0.0,0.0772,0.509,89.044
Counting Stars,OneRepublic,6sy3LkhNFjJWlaeSMNwQ62,0.664,0.705,-4.972,0.0382,0.0654,0.0,0.115,0.477,122.017
Country Song,Jake Bugg,0XY9YAtkp5GXMuFdkZk8Xp,0.414,0.172,-13.849,0.0323,0.969,6.72e-05,0.115,0.386,89.176
Crazy Train,Ozzy Osbourne,7ACxUo21jtTHzy7ZEV56vU,0.454,0.913,-4.008,0.107,0.408,0.000271,0.248,0.521,137.688
Creator,Santigold,2mepahtDztjkeUcje46YD1,0.407,0.868,-4.057,0.199,0.12,0.0,0.25,0.566,146.687
Crowded Table,The Highwomen,5HuaHij4kVpfEVv93MYCeW,0.559,0.562,-5.674,0.0325,0.203,9.48e-06,0.17,0.428,132.062
Cult of Personality,Living Colour,5e3YOg6fIkP0wD5TyxcHOH,0.504,0.918,-3.463,0.0517,0.00164,2.12e-05,0.78,0.539,92.031
Da Da Da,Trio,5XZkMrlZsAqY9ltgN1cN4b,0.819,0.692,-11.747,0.0543,0.0024,0.0184,0.321,0.963,131.259
Da Ya Think I'm Sexy?,Rod Stewart,4z7maGZkAonDlXlwo8q69f,0.715,0.689,-8.065,0.029,0.0143,0.000192,0.111,0.852,111.504
Da' Dip,Freak Nasty,76YDsWGWezclVy9Z6sDGhf,0.953,0.428,-17.199,0.298,0.0079,0.0302,0.224,0.723,131.737
Danger Zone,Kenny Loggins,34x6hEJgGAOQvmlMql5Ige,0.544,0.897,-6.056,0.0471,0.241,0.0,0.13,0.647,157.17
Dare (La La La),Shakira,0YoUczWJPqphLvxnTXG00N,0.792,0.73,-5.376,0.0698,0.0623,2.66e-05,0.089,0.616,128.029
Day Drinking,Little Big Town,1pxXqJZBrCREdC0s4Xs6Xz,0.591,0.959,-2.515,0.057,0.103,0.0,0.779,0.86,163.883
Daylight,Matt and Kim,57i3M29DWoo7RDk0Tf0LZG,0.57,0.798,-4.92,0.0323,0.102,0.000128,0.178,0.671,103.303
Days,The Kinks,47COMIg91E1U83OQolIiBt,0.548,0.768,-7.891,0.027,0.051,0.00666,0.0564,0.869,100.863
Days Go By,Dirty Vegas,2RLpFEf6d0708O7Bqhjyxg,0.786,0.853,-8.274,0.0688,0.0499,0.0872,0.35,0.309,126.99
Desert Rose,Sting,4WhyHQ2BXi2VU1iaFbF6jv,0.577,0.654,-7.9,0.0321,0.0143,0.0,0.114,0.13,111.993
Dig In,Lenny Kravitz,0mBmE1IzBpbhfwEU4nd4ew,0.671,0.921,-3.878,0.0291,0.0129,0.0235,0.0579,0.825,118.424
Do That to Me One More Time,Captain & Tennille,0m4jVVZrsv0bLkAr1uM6UG,0.728,0.524,-8.227,0.0255,0.563,0.000131,0.0913,0.51,90.262
Do What U Want,Lady Gaga,5XKXMWPACPq51OiqzxenZo,0.778,0.801,-4.65,0.086,0.345,1.18e-06,0.0881,0.534,97.47
Do You Love Me,The Contours,5MbNAHqNksNDycMZ0WUaO5,0.62,0.81,-6.594,0.039,0.432,0.0,0.0843,0.793,150.737
Do You Realize??,The Flaming Lips,2DFRFqWNahKtFD112H2iEZ,0.464,0.797,-5.244,0.0333,0.006,0.000304,0.392,0.547,129.964
Domani,MIKA,4NGIKS6qfDRcAVTlYBgSZ2,0.661,0.833,-4.868,0.0335,0.0714,0.0,0.1,0.636,124.068
Dominos,The Big Pink,0VpkfoJpz3V7we5dNoJRrE,0.441,0.896,-4.923,0.127,0.000605,2.11e-05,0.21,0.51,176.111
Don't,Ed Sheeran,1huvTbEYtgltjQRXzrNKGi,0.806,0.608,-7.008,0.0659,0.0113,0.0,0.635,0.849,95.049
Don't Bring Me Down,Electric Light Orchestra,72ahyckBJfTigJCFCviVN7,0.638,0.867,-6.469,0.0331,0.144,0.000733,0.0846,0.805,115.692
Don't Cha,The Pussycat Dolls,1gZ7i4qxXkHZb1r6eioaAP,0.877,0.637,-3.493,0.101,0.00516,2.5e-06,0.0959,0.569,119.988
Don't Change 4 Me,Matthew Moon,04AYEtzUDsaUFwpxw9tPrP,0.449,0.608,-3.249,0.0468,0.00105,0.0,0.359,0.498,149.872
Don't Fence Me In,Cole Porter,7bTlID6vzqECC5Vq61mysd,0.736,0.111,-23.458,0.056,0.635,0.772,0.103,0.874,126.467
Don't Mind,Mary J. Blige,2zfPO7DPnJ2Sxp3pniyU4z,0.608,0.812,-4.632,0.053,0.0068,0.000982,0.142,0.268,173.999
Don't Stop (Color on the Walls),Foster the People,4HRa9ZWcmZ8JD7UySPu0wT,0.611,0.948,-3.751,0.0753,0.00183,0.0995,0.0969,0.79,133.004
Don't Stop Me Now,Queen,7hQJA50XrCWABAu5v6QZ4i,0.563,0.865,-5.277,0.16,0.0472,0.000191,0.77,0.601,156.271
Don't Upset The Rhythm (Go Baby Go),Noisettes,5c5SVPVd9duygPOwO9n7e6,0.689,0.875,-3.307,0.0355,0.00923,0.00348,0.163,0.655,120.252
Don't You (Forget About Me),Simple Minds,3fH4KjXFYMmljxrcGrbPj9,0.66,0.816,-6.61,0.0299,0.168,0.0181,0.0608,0.678,111.346
Don't You Know What The Night Can Do?,Steve Winwood,4zGkOYqVX78eobhf2hTls4,0.54,0.762,-6.538,0.0285,0.14,0.000113,0.192,0.635,172.241
Donna,Ritchie Valens,0VE4ayVlGs5DBoqOdgJ0Zv,0.472,0.225,-12.581,0.0263,0.864,0.0,0.111,0.29,100.299
Down,Marian Hill,5eCkuGPZNl4mISFNPgr3Dd,0.678,0.357,-14.712,0.128,0.675,0.00569,0.124,0.0661,113.301
Down Down,Status Quo,5vVZaiK2mIL9WE1GWikOE6,0.47,0.899,-7.127,0.0333,0.113,6.89e-05,0.287,0.213,89.506
Dream On,Aerosmith,5MxNLUsfh7uzROypsoO5qe,0.307,0.433,-10.057,0.029,0.388,9.08e-05,0.332,0.224,160.9
Dreams,The Cranberries,4JGKZS7h4Qa16gOU3oNETV,0.551,0.643,-13.091,0.0353,0.00313,0.00385,0.421,0.514,128.661
