TITLE,ARTIST,ID,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Drew Barrymore,SZA,06u5LrUpbosQlQ1QJFhPpG,0.577,0.523,-5.538,0.0429,0.491,0.0,0.147,0.29,134.93
Drinkee,Sofi Tukker,0WE8YTl6GAVHnkfvMfci98,0.773,0.663,-8.101,0.0496,0.0557,0.61,0.229,0.324,115.002
Drinking In L.A.,Bran Van 3000,4WEaJQLlhlkOU7YJDLhn7x,0.568,0.707,-5.672,0.0582,0.0608,0.0,0.0673,0.663,171.968
Driving Home for Christmas,Chris Rea,3Z3QhZAZpqwZa1phsbQ3JZ,0.497,0.661,-9.047,0.0361,0.328,0.000317,0.211,0.894,180.225
Drop It Like It's Hot,Snoop Dogg,2NBQmPrOEEjA8VbeWOQGxO,0.888,0.632,-3.872,0.219,0.19,0.0,0.101,0.662,91.979
Dueling Banjos,Eric Weissberg and Steve Mandell,3iWC6AAzEB0Yh3m6Airvym,0.417,0.484,-8.781,0.079,0.409,0.959,0.0663,0.501,149.785
Easy,Commodores,1JQ6Xm1JrvHfvAqhl5pwaA,0.589,0.384,-15.075,0.0332,0.112,2.8e-05,0.0596,0.354,132.909
Eat Steak,The Reverend Horton Heat,0DiixF2hwgEo2v8nljFCdN,0.566,0.781,-9.02,0.0465,0.569,0.0,0.162,0.822,91.143
Edge Of Seventeen,Stevie Nicks,2id8E4WvczfKHB4LHI7Np3,0.59,0.828,-6.28,0.0439,0.277,5.57e-06,0.0868,0.636,111.353
Either Way,Wilco,5ovcVaOus1Wv4vTtyGXlhB,0.542,0.546,-9.927,0.0323,0.597,0.00382,0.111,0.344,74.797
Eminence Front,The Who,0LN5gIsS5tQSmRzQrHSaTR,0.697,0.787,-9.695,0.0305,0.232,0.587,0.0404,0.572,98.066
Enjoy Yourself (It's Later Than You Think),Guy Lombardo,0lMk95xQZtrTDFZGvXvqnU,0.784,0.382,-11.09,0.186,0.614,0.0,0.0479,0.882,145.96
Esseri umani,Marco Mengoni,1tefUBqLAW9l6HC10qOtCA,0.343,0.771,-4.371,0.0423,0.0843,0.0,0.195,0.301,183.677
Everlasting Love,Robert Knight,0YR8dAoJh6Hba2c9EvppJI,0.618,0.442,-13.154,0.0313,0.624,0.0291,0.106,0.403,116.113
Every Time the Sun Comes Up,Sharon Van Etten,38ydcsbayM4oX21Hhu84DT,0.663,0.522,-8.741,0.0374,0.392,5.41e-06,0.197,0.301,99.765
Everybody Knows,Leonard Cohen,60s0QWaOZ2UTzqdIHBCt3x,0.785,0.457,-13.827,0.0273,0.643,2.57e-06,0.172,0.692,104.205
Everybody's Happy Nowadays,Buzzcocks,7xUEsVEwSSXhjgBgZG57Tl,0.535,0.802,-7.472,0.137,0.00347,6.2e-06,0.18,0.598,110.591
Everyday,Slade,5qgGXHf4yXNk2Z1LzMQDCh,0.521,0.464,-3.883,0.025,0.65,3.58e-06,0.368,0.263,85.486
Everyday People,Sly & the Family Stone,7lL2lMWNtzOcf5HnEudNgn,0.813,0.619,-8.203,0.0294,0.245,0.0151,0.113,0.774,114.58
Everywhere,Fleetwood Mac,254bXAqt3zP6P50BdQvEsq,0.73,0.487,-10.991,0.0303,0.258,0.01,0.0852,0.731,114.965
Express Yourself,Madonna,6ioBgySxoeQKALvAeLEmId,0.667,0.93,-4.585,0.0608,0.0108,0.0,0.176,0.893,115.57
Eye of the Tiger,Survivor,2KH16WveTQWT6KOG9Rg6e2,0.817,0.599,-9.249,0.0328,0.132,0.000311,0.0873,0.548,108.873
F**kin' Perfect,P!nk,3MGJF1CDFGfjXESL2Heva0,0.57,0.646,-4.748,0.0331,0.0412,0.0,0.362,0.485,91.954
Fancy,Reba McEntire,0FtV0YbnnjD7PXpLHFHPhn,0.674,0.517,-11.225,0.0726,0.226,0.0,0.0697,0.482,94.98
February Air,Lights,4xVPcI30JGzvEhmm5jnbmO,0.612,0.813,-5.341,0.0757,0.301,0.000608,0.261,0.523,120.022
Feel It Still,Portugal. The Man,6QgjcU0zLnzq5OrUoSZ3OK,0.801,0.795,-5.115,0.0504,0.0417,0.000113,0.0717,0.754,79.028
Feeling Good,Nina Simone,6Rqn2GFlmvmV4w9Ala0I1e,0.399,0.326,-9.239,0.0386,0.864,0.0,0.191,0.546,79.206
Feeling Good,Avicii,7rc6L3UtM0uvwfpsl07GBL,0.32,0.588,-5.49,0.0449,0.34,0.0,0.112,0.111,131.585
Feliz Navidad,José Feliciano,0oPdaY4dXtc3ZsaG17V972,0.513,0.831,-9.004,0.0383,0.55,0.0,0.336,0.963,148.837
Fernando,ABBA,4BM8yJ0PzBi2ZewpMTOxtx,0.354,0.535,-8.876,0.0303,0.627,2.9e-06,0.0808,0.434,110.821
Fight Song,Rachel Platten,37f4ITSlgPX81ad2EvmVQr,0.564,0.714,-4.987,0.129,0.0549,0.0,0.155,0.33,175.924
Find My Baby,Moby,0dI4mHGU5PgjoU4Ogay1Bp,0.664,0.74,-6.806,0.0623,0.00197,0.0415,0.259,0.576,93.988
Find You,Zedd,1gpF8IwQQj8qOeVjHfIIDU,0.537,0.759,-5.622,0.0444,0.0267,0.0,0.0947,0.377,127.973
Fire,Barns Courtney,5w6B0sAH7XauCvMOAtplQj,0.548,0.64,-6.285,0.0306,0.21,0.000328,0.08,0.392,108.326
Flat Beat,Mr. Oizo,5jaVyz2GDdesyu01cBbOSc,0.94,0.425,-11.584,0.55,0.00021,0.486,0.273,0.499,128.989
Fly Away,Lenny Kravitz,1OxcIUqVmVYxT6427tbhDW,0.587,0.872,-5.066,0.0484,0.018,0.0,0.622,0.735,159.925
Fly Like An Eagle,Steve Miller Band,3e0FzZjTXOUtiJGSClOBrI,0.561,0.754,-12.769,0.112,0.61,0.0194,0.328,0.642,100.08
"Food, Glorious Food",Cast of Oliver!,2uf1ei8iASCvI3N4SHWLfl,0.467,0.297,-12.349,0.032,0.789,0.0,0.061,0.502,134.079
For What It's Worth,Buffalo Springfield,1qRA5BS78u3gME0loMl9AA,0.653,0.519,-10.164,0.0497,0.406,0.0209,0.101,0.822,98.883
For Your Love,The Yardbirds,6o21UfW2RHkzzleZGLfFpK,0.288,0.62,-10.103,0.0428,0.24,0.0,0.0882,0.617,94.445
Forever,Haim,2319gHincsCeSmc19Efi2j,0.773,0.867,-4.595,0.0603,0.145,0.000333,0.105,0.592,117.984
Forever,Chris Brown,3NZJlJemX3mzjf56MqC5ML,0.672,0.82,-4.456,0.0459,0.0368,0.000188,0.184,0.438,120.005
Forever Young,Rod Stewart,6y4OjcEz7LMrdVGODrcAIv,0.602,0.493,-17.899,0.0279,0.0934,0.00251,0.28,0.505,101.941
Freak on a Leash,Korn,6W21LNLz9Sw7sUSNWMSHRu,0.353,0.898,-5.877,0.052,2.23e-05,0.105,0.39,0.525,103.293
Free Ride,Edgar Winter,4DhbiXEuV7JxSR0wuqetTa,0.674,0.686,-11.927,0.0597,0.29,0.00322,0.189,0.814,124.204
Freedom,Pitbull,1StLlgkTm6s0LGRyAap9SP,0.701,0.931,-4.954,0.119,0.0949,0.0,0.126,0.803,118.034
Freedom Of Choice,Devo,2rqVAj02zaRGkNq6CR97nH,0.835,0.871,-13.353,0.0359,0.457,0.00852,0.0557,0.963,140.386
Freedom! '90,George Michael,3tyTt5pEWblt96j1HsXiV5,0.677,0.852,-10.856,0.045,0.225,3.95e-05,0.0595,0.93,91.691
Fuel,Metallica,1tTPC0hsnXq1IGpvWY54JC,0.491,0.951,-3.775,0.0465,2.3e-05,0.00354,0.0424,0.555,106.948
Gangnam Style,PSY,03UrZgTINDqvnUMbbIMhql,0.727,0.937,-2.871,0.286,0.00417,0.0,0.091,0.749,132.067
Gasolina,Daddy Yankee,6jEZLz3YpnEBRpVkv35AmP,0.857,0.801,-6.499,0.0618,0.332,1.2e-06,0.0789,0.753,96.009
Genesis,Justice,4wSmqFg31t6LsQWtzYAJob,0.693,0.789,-5.13,0.384,0.0168,0.366,0.0985,0.283,117.055
Genius Of Love,Tom Tom Club,6UBQONiLH8kNmmB8UrV2Ef,0.921,0.529,-11.974,0.0851,0.0845,0.000779,0.0478,0.724,102.941
Gertcha,Chas & Dave,485Cd38nHbhUtaHnhaTJXT,0.741,0.929,-6.963,0.0429,0.19,0.0,0.289,0.977,139.191
Get Busy,Sean Paul,5qTvkDrSfvwDv6RBjjcfQr,0.735,0.824,-4.143,0.036,0.615,0.0,0.158,0.726,100.202
Get Low,Dillon Francis,3oZoXyU0SkDldgS7AcN4y4,0.674,0.932,-4.424,0.0859,0.0282,0.71,0.684,0.728,101.033
Get Ready For This,2 Unlimited,6eMry77tX8WTocKpnVOGQs,0.797,0.863,-7.015,0.0559,0.0332,2.22e-05,0.0941,0.769,124.891
Get Together,The Youngbloods,7CQXyFX44CXmnuq8Bi9Dyc,0.542,0.492,-11.927,0.0256,0.467,0.00105,0.0863,0.58,103.064
Get Up Offa That Thing,James Brown,3whRKAOlJ0M3banzcChvQv,0.883,0.631,-11.473,0.42,0.339,5.19e-06,0.942,0.782,118.084
Get Ur Freak On,Missy Elliott,6zsk6uF3MxfIeHPlubKBvR,0.797,0.75,-9.369,0.247,0.533,0.108,0.095,0.74,177.87
Getting Better,The Beatles,3LtOmWpTXLhilL5odoKysR,0.632,0.471,-7.887,0.0348,0.313,5.08e-06,0.0712,0.764,121.672
Gigantic,Pixies,5G2g1EbEtFSMkMbAnhl7FV,0.39,0.694,-11.783,0.0399,0.00299,0.304,0.0757,0.795,115.197
Gimme Some,"Jimmy ""Bo"" Horne",0QkYkVSMKRodABlwztYdW5,0.802,0.597,-8.021,0.0777,0.00105,0.00224,0.109,0.973,121.367
Gimme Some Lovin',The Spencer Davis Group,3qCHUm73I3o5F1mDEfibzo,0.598,0.564,-6.454,0.032,0.216,0.000204,0.277,0.43,147.619
Girls,Sugababes,3Ij2VebVpzQmxwQSWtM00f,0.605,0.848,-4.554,0.0295,0.000105,0.0314,0.151,0.717,102.977
Give A Little Bit,Supertramp,6XUHsYE38CEbYunT983O9G,0.531,0.818,-5.358,0.0452,0.0694,0.0096,0.263,0.471,90.767
Give It To Me,J. Geils Band,67trulk6j7vx2hYGXiJAxq,0.601,0.531,-13.784,0.0431,0.475,0.229,0.058,0.818,117.676
Give Up the Funk (Tear the Roof off the Sucker),Parliament,4XRkQloZFcRrCONN7ZQ49Y,0.717,0.665,-9.503,0.0523,0.0659,0.0,0.326,0.774,105.693
Glass & Patron,FKA Twigs,3U6CPINSKmZJ09FtO9PgUa,0.629,0.523,-10.079,0.121,0.0449,0.000276,0.618,0.191,127.045
Go,The Chemical Brothers,2Xhd1kYKj2aee7JR3nIlRe,0.751,0.897,-3.598,0.0468,0.00957,2.88e-05,0.329,0.482,119.97
Go Where You Wanna Go,The 5th Dimension,22ajmorGB394NsdoMXYhaD,0.529,0.512,-10.249,0.038,0.67,0.0,0.371,0.669,115.184
Go Your Own Way,Fleetwood Mac,4xh7W7tlNMIczFhupCPniY,0.586,0.941,-5.139,0.0375,0.0167,0.000776,0.068,0.831,135.448
God Only Knows,The Beach Boys,6iGU74CwXuT4XVepjc9Emf,0.521,0.487,-7.525,0.0299,0.253,0.0,0.0579,0.483,117.072
Gold,Kiiara,6ZSO7kPn8IMJFymyticbJO,0.6,0.412,-9.343,0.344,0.615,0.0025,0.134,0.408,113.049
Golden Slumbers,The Beatles,01SfTM5nfCou5gQL70r6gs,0.419,0.152,-12.126,0.0277,0.326,0.0034,0.113,0.239,80.608
Good Life,OneRepublic,6OtCIsQZ64Vs1EbzztvAv4,0.634,0.69,-7.804,0.052,0.0771,0.0,0.132,0.645,94.988
Good Times,Chic,2wYKNcoqKW4IEcllj42xz1,0.869,0.503,-12.804,0.0479,0.0818,0.00837,0.187,0.914,112.664
Good To Be Alive (Hallelujah),Andy Grammer,3gHc5XTAywdFQUsHS6DD7G,0.797,0.896,-3.678,0.0512,0.0349,0.0,0.635,0.685,120.037
Good Vibrations,Marky Mark and the Funky Bunch,5hWdgGVcfTeLPAiHM6EZG9,0.711,0.951,-8.406,0.0537,0.00189,0.366,0.0229,0.903,121.656
Good Vibrations,The Beach Boys,5t9KYe0Fhd5cW6UYT4qP8f,0.396,0.473,-7.67,0.0345,0.326,0.000124,0.109,0.385,133.449
Goodbye,Kristinia DeBarge,5myYDbAurm1CW038qd4gL2,0.777,0.82,-3.211,0.0471,0.00505,2.6e-05,0.142,0.651,119.987
Goodnight Gotham,Rihanna,5LJz7kmFhLqB53tmVWxig5,0.418,0.672,-5.989,0.0429,0.00686,2.14e-06,0.277,0.353,82.134
Gooey,Glass Animals,1gk3FhAV07q9Jg77UxnVjX,0.487,0.369,-13.424,0.0406,0.736,3.75e-05,0.0925,0.106,183.114
Got Me Under Pressure,ZZ Top,1jzZZsfzxsebFa6KpWXaAr,0.607,0.939,-4.95,0.0375,0.0166,0.0081,0.0941,0.764,157.957
Green Onions,Booker T. & the M.G.'s,4fQMGlCawbTkH9yPPZ49kP,0.816,0.514,-8.741,0.0339,0.767,0.949,0.0899,0.912,136.837
Greensleeves,Traditional,4CeTYautLdTI3nSkqt7MXE,0.159,0.193,-15.818,0.0345,0.934,0.881,0.278,0.0585,90.739
Gronlandic Edit,Of Montreal,3X8gOyVXP93Tslnz9Bxw24,0.971,0.4,-7.154,0.0487,0.0833,0.000661,0.108,0.652,119.953
Groove Is in the Heart,Deee-Lite,2UVLuddklEVak5PXgC7baA,0.694,0.881,-4.053,0.0701,0.0153,0.0196,0.0851,0.924,121.554
Gunshot,Lykke Li,5mSjJvTv9l5X2CblEa2ehN,0.523,0.621,-5.535,0.032,0.0751,0.00226,0.0895,0.35,106.961
Guts Over Fear,Eminem,0VZs2OQq4axr8GFRdC9nyD,0.655,0.859,-4.277,0.221,0.328,0.0,0.248,0.525,140.049
Hair Of The Dog,Nazareth,1wXE6zvNWRz8GuMfEUgETz,0.688,0.745,-10.323,0.0519,0.00285,0.238,0.114,0.688,128.556
Half the World Away,Aurora,4TWshc0BwiunzoppGOqiYR,0.617,0.0947,-14.73,0.0422,0.947,6.05e-06,0.15,0.206,111.689
HandClap,Fitz and the Tantrums,4qRaZYiaOsSvWC7VgcxrI0,0.636,0.836,-3.004,0.0427,0.00609,0.000157,0.0828,0.715,139.956
Happiness,Needtobreathe,7aag0fFgE9K1Gj8lJwQaGI,0.575,0.765,-6.608,0.0345,0.00703,0.0,0.331,0.407,98.037
Happiness Runs,Donovan,6VjlixxvMk9GvMA1ly8i8V,0.458,0.151,-21.263,0.0612,0.877,0.0,0.153,0.373,153.595
Happy,Pharrell Williams,60nZcImufyMA1MKQY3dcCH,0.647,0.822,-4.662,0.183,0.219,0.0,0.0908,0.962,160.019
Happy Jack,The Who,4EQL3I68WEw20icaY5y6Cy,0.556,0.572,-11.692,0.0554,0.0272,0.00498,0.105,0.964,128.888
Happy Together,The Turtles,1JO1xLtVc8mWhIoE3YaCL0,0.584,0.367,-9.638,0.0328,0.55,1.38e-05,0.0818,0.588,120.175
Havana,Camila Cabello,1rfofaqEpACxVEHIZBJe6W,0.765,0.523,-4.333,0.03,0.184,3.56e-05,0.132,0.394,104.988
Haven't Got Time For the Pain,Carly Simon,0oAJ0BThYPkafNe8PNLqIq,0.551,0.362,-15.089,0.0297,0.63,0.0,0.0698,0.632,105.848
Haven't Met You Yet,Michael Bublé,4fIWvT19w9PR0VVBuPYpWA,0.615,0.733,-4.808,0.0335,0.152,0.0,0.109,0.796,122.58
"He Ain't Heavy, He's My Brother",The Hollies,41iPmvB2ogl3dzEHw9EZh0,0.309,0.441,-6.524,0.0291,0.409,1.73e-05,0.513,0.217,75.734
Heart and Soul,T'Pau,5kv4uJENk4nWUIzgYoz7SI,0.457,0.667,-8.723,0.0361,0.405,0.0,0.092,0.6,179.853
Heartbeats,José González,5YqpHuXpFjDVZ7tY1ClFll,0.589,0.177,-14.891,0.0325,0.977,0.714,0.0958,0.311,88.409
Heartbreaker,Justin Bieber,21pCToQdqcPi879auxjxKe,0.572,0.503,-7.334,0.0858,0.156,0.0,0.346,0.553,103.215
Heaven,Warrant,2dEgwtRjYl6TJkIwjRwn6z,0.462,0.488,-11.143,0.0287,0.115,0.0,0.128,0.33,145.789
Hello,Martin Solveig,3sl4dcqSwxHVnLfqwF2jly,0.666,0.975,-3.47,0.0345,0.0135,0.000925,0.105,0.452,128.005
"Hello Muddah, Hello Faddah",Allan Sherman,2Vo28PCuSInCfdZ2WMHVPL,0.619,0.409,-12.887,0.201,0.81,0.0,0.641,0.626,115.591
Here Comes The Girls,Ernie K-Doe,52uuK5LFmWNzpgFZPXX4Vz,0.772,0.542,-10.867,0.0359,0.592,0.000724,0.0557,0.962,98.692
Here I Go Again,Whitesnake,1qOU8KzFifXE9YrgjVwYvc,0.292,0.823,-6.763,0.0407,0.0117,7.79e-05,0.155,0.244,89.939
Hero,Mariah Carey,4FCb4CUbFCMNRkI6lYc1zI,0.501,0.378,-9.37,0.029,0.735,0.0,0.119,0.178,119.987
Hero,Enrique Iglesias,24Gxm7Eh7tO83E26LG0CsY,0.581,0.651,-5.617,0.0392,0.143,1.05e-05,0.107,0.146,151.959
Heroes,David Bowie,7Jh1bpe76CNTCgdgAdBw4Z,0.49,0.758,-6.491,0.0297,0.000671,0.484,0.092,0.435,112.114
Hey Brother,Avicii,4lhqb6JvbHId48OUJGwymk,0.545,0.78,-4.867,0.0436,0.0309,4.64e-05,0.0828,0.458,125.014
Higher Ground,Red Hot Chili Peppers,5arVt2Wg0zbiWwAOZef2Nl,0.476,0.979,-3.506,0.132,0.0014,0.00729,0.0944,0.416,140.404
Hit The Road Jack,Ray Charles,5yQFVCQkupKqTJecbXA7qT,0.559,0.631,-11.184,0.229,0.628,0.0,0.336,0.929,173.172
Ho Hey,The Lumineers,0W4Kpfp1w2xkY3PrV714B7,0.685,0.466,-9.074,0.0304,0.794,2.06e-06,0.0915,0.353,79.936
Hocus Pocus,Focus,2uzyiRdvfNI5WxUiItv1y9,0.262,0.818,-5.538,0.152,0.0218,0.916,0.276,0.395,183.629
Hold My Hand,Jess Glynne,1i1rNVtxbE7rdFfpHuNq2j,0.642,0.823,-5.717,0.0289,0.00159,0.0,0.0776,0.431,122.977
Hold On,Wilson Phillips,4VZDv8sASBS8UruUBGTFdk,0.679,0.657,-9.897,0.0255,0.4,0.0,0.0497,0.546,97.8
Hold On Tight,Electric Light Orchestra,6yBbmHFTxihIDFAerzDMGi,0.439,0.794,-11.792,0.0633,0.159,1.69e-06,0.434,0.748,145.056
Holiday,Vampire Weekend,4wtxSmTTeg6CiuhwIVKv0b,0.715,0.769,-5.24,0.105,0.023,0.000732,0.127,0.891,155.827
Holiday Road,Lindsey Buckingham,38i0QcGQ9hu8PMk4QObUTj,0.428,0.608,-13.729,0.0655,0.0144,0.000211,0.728,0.92,188.643
Home,Edward Sharpe & the Magnetic Zeros,7w5cxTEzp1rfV3KCy0Bd5N,0.542,0.589,-6.623,0.0318,0.292,0.000522,0.177,0.137,111.665
Home Sweet Home,Mötley Crüe,4zXvB4MoQD8onk0NCZbeHG,0.403,0.777,-6.416,0.0354,0.0999,3.28e-06,0.124,0.149,76.329
Hot In Herre,Nelly,04KTF78FFg8sOHC1BADqbY,0.956,0.745,-4.753,0.12,0.206,0.0,0.0615,0.912,107.075
Hotline Bling,Drake,0wwPcA6wtMf6HUMpIRdeP7,0.891,0.628,-7.863,0.0551,0.00258,0.00019,0.0504,0.552,134.966
How Bad We Need Each Other,Marc Scibilia,0gWcJrbC41WK5qsKowO0tz,0.669,0.717,-5.47,0.0558,0.071,0.0,0.0793,0.692,90.986
How You Like Me Now,The Heavy,7D180Q77XAEP7atBLmMTgK,0.647,0.71,-4.692,0.029,0.000973,0.703,0.0777,0.268,110.059
Howlin' For You,The Black Keys,0grFc6klR3hxoHLcgCYsF4,0.705,0.735,-6.646,0.0931,0.028,0.0783,0.112,0.448,132.627
Hypnotized,Purple Disco Machine,0vWUhCPxpJOJR5urYbZypB,0.69,0.813,-5.084,0.0997,0.0968,0.000324,0.109,0.704,108.078
I Am,Awolnation,31CgjKFR1pzFO5Im365rXB,0.573,0.746,-4.921,0.0286,0.171,0.000187,0.276,0.271,130.004
I Am Woman,Helen Reddy,3l2hbXdvmaH3tUd3qWLKgm,0.392,0.681,-8.723,0.0367,0.408,2.31e-05,0.375,0.711,171.162
I Believe In A Thing Called Love,The Darkness,756CJtQRFSxEx9jV4P9hpA,0.442,0.846,-5.214,0.0764,0.0538,4.71e-06,0.282,0.622,128.235
I Bet My Life,Imagine Dragons,15DrrIod12Tc2IoMaHiwlQ,0.553,0.657,-8.219,0.0405,0.335,0.000648,0.228,0.555,107.889
I Can See Clearly Now,Johnny Nash,0DcrhZ12WcCqruCs8ibXSf,0.681,0.373,-13.2,0.0568,0.633,0.00113,0.0751,0.623,123.423
I Drove All Night,Roy Orbison,6U7QjXYOaLJ741cIWPBTyN,0.478,0.624,-11.16,0.0393,0.655,0.00197,0.114,0.579,138.708
I Feel Pretty,West Side Story Original Broadway Cast,4zLvXjNRP6VS6Mj6yXmfS3,0.623,0.245,-17.578,0.0572,0.844,0.0,0.74,0.761,110.455
I Giorni,Ludovico Einaudi,0VLascXUZ2Ze2u5kUD5J1f,0.277,0.0314,-30.21,0.0545,0.992,0.943,0.0712,0.0495,131.571
I Gotsta Get Paid,ZZ Top,7rwM67LyGTDIq33h3Ukc6Y,0.542,0.941,-2.225,0.0621,0.052,0.000191,0.056,0.445,82.371
I Heard It Through the Grapevine,Marvin Gaye,1tqT6DhmsrtQgyCKUwotiw,0.711,0.362,-10.851,0.0381,0.272,0.0,0.127,0.616,117.287
I Just Wanna Shine,Fitz and the Tantrums,4GZ3YCkuH0VvTluVLwUp4g,0.705,0.918,-2.77,0.0684,0.04,9.3e-05,0.0803,0.546,92.511
I Just Want To Make Love To You,Muddy Waters,2HFczeynfKGiM9KF2z2K7K,0.304,0.73,-7.213,0.0443,0.0144,0.00213,0.135,0.934,176.702
I Know There's Gonna Be (Good Times),Jamie xx,06UOL50QYtDR5l06ohu88m,0.657,0.597,-9.919,0.168,0.12,0.0,0.477,0.486,89.606
I Like It,Cardi B,58q2HKrzhC3ozto2nDdN4z,0.816,0.726,-3.998,0.129,0.099,0.0,0.372,0.65,136.048
I Like It Like That,Pete Rodriguez,6Wy3X4jSszfisnRscJCHdq,0.596,0.7,-4.911,0.0323,0.68,0.000277,0.623,0.926,133.45
I Love It,Icona Pop,6HZ9VeI5IRFCNQLXhpF4bq,0.711,0.906,-2.671,0.0284,0.00952,1.64e-05,0.153,0.824,125.916
I Melt With You,Modern English,6J2rMSRhgb4HuX6dWgM3nJ,0.541,0.81,-11.745,0.0367,0.000975,0.00158,0.0681,0.647,155.582
I Still Call Australia Home,Peter Allen,72FDdK9WADdng1VTXhWlgt,0.317,0.394,-8.885,0.0274,0.566,0.0,0.123,0.154,90.653
I Walk The Line,Johnny Cash,7hxZF4jETnE5Q75rKQnMjE,0.713,0.258,-14.59,0.0384,0.877,0.00606,0.0967,0.56,98.805
I Will Never Let You Down,Rita Ora,2ia7iiEtpiOL2ZVuWxBZGB,0.753,0.801,-3.215,0.0296,0.403,0.0,0.128,0.794,128.011
I Wish I Knew How It Would Feel to Be Free,Billy Taylor,0MeAcBLoHDO5s5I0yNIvHw,0.48,0.145,-18.365,0.0472,0.995,0.896,0.105,0.124,112.622
I'd Like To Teach The World To Sing,The New Seekers,0hbC2CAJidLslKqJ39Lxh4,0.466,0.476,-9.289,0.031,0.749,0.0,0.22,0.856,133.731
I'll Stand By You,Pretenders,3Nf8oGn1okobzjDcFCvT6n,0.438,0.606,-6.549,0.0305,0.3,4.49e-06,0.0754,0.266,133.822
I'll Take You There,The Staple Singers,5YLnfy7R2kueN0BRPkjiEG,0.846,0.595,-8.372,0.0439,0.0904,1.96e-06,0.063,0.78,101.632
I'm A Man,The Spencer Davis Group,1oXq63OUf43LDnNPVtfvX8,0.557,0.859,-8.842,0.0662,0.159,0.0,0.117,0.678,128.641
I'm A Woman,Peggy Lee,2oBweKXM5LRYS3QQAeXTUK,0.585,0.35,-10.996,0.0524,0.562,0.0,0.0992,0.663,99.645
I'm Alive,The Hollies,5KnoGzqktzPxHC38VQgWha,0.436,0.586,-8.292,0.0308,0.0111,4.54e-06,0.447,0.674,132.778
